,name,country,type,factor,position,club,values,
0,Ivan Perisic,hr,player,1.0101010101010102,FW,Hajduk Split,"0,8,27,11,8,12,11,12,15,100,29,17,21,88,26,19",
0,Marco Pasalic,hr,player,0.23,FW,Rijeka,"0,6,13,7,5,8,8,14,10,21,12,8,7,23,13,9",
0,Marko Pjaca,hr,player,0.17,FW,Rijeka,"0,6,8,6,4,5,5,6,6,13,7,5,4,17,13,14",
0,Zlatko Dalic /m/04jj8lm,hr,trainer,1.0,,,"0,12,31,19,58,24,12,10,29,72,85,40,26,100,85,52",
0,empty2hr,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1hr,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Gianluigi Donnarumma,it,player,1.694915254237288,GK,Paris Saint-Germain,"1,2,2,6,2,3,2,2,5,62,11,4,3,4,100,33",
0,Guglielmo Vicario,it,player,0.05,GK,Tottenham Hotspur,"5,2,4,4,1,1,1,1,2,4,2,1,1,1,3,1",
0,Alex Meret,it,player,0.03,GK,Napoli,"2,2,1,1,1,1,1,1,1,3,1,1,1,1,2,0",
0,Giovanni Di Lorenzo,it,player,0.51,DF,Napoli,"6,5,6,8,33,48,34,18,18,51,14,9,6,8,48,38",
0,Federico Dimarco,it,player,0.89,DF,Inter Milan,"0,1,2,5,2,2,1,8,3,89,21,6,4,3,34,9",
0,Alessandro Buongiorno,it,player,0.16,DF,Torino,"6,4,8,16,5,5,3,3,6,9,7,4,4,4,5,4",
0,Gianluca Mancini,it,player,0.05,DF,Roma,"0,1,1,2,1,1,1,1,1,3,2,5,2,2,3,1",
0,Matteo Darmian,it,player,0.17,DF,Inter Milan,"0,1,1,7,1,1,1,1,1,17,3,2,1,1,3,3",
0,Riccardo Calafiori,it,player,2.7027027027027026,DF,Bologna,"4,3,2,8,3,2,3,3,4,100,44,21,12,7,76,59",
0,Raoul Bellanova,it,player,0.27,DF,Torino,"3,3,3,27,4,2,2,4,4,7,4,2,2,3,5,4",
0,Alessandro Bastoni,it,player,0.98,DF,Inter Milan,"0,1,2,3,2,2,1,1,2,98,25,8,5,5,21,6",
0,Andrea Cambiaso,it,player,0.49,DF,Juventus,"0,2,2,12,2,1,1,1,2,49,7,7,2,2,43,9",
0,Federico Gatti,it,player,0.03,DF,Juventus,"0,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1",
0,Nicolo Barella,it,player,2.1739130434782608,MF,Inter Milan,"13,14,13,9,4,7,6,4,5,100,37,16,7,7,29,8",
0,Davide Frattesi,it,player,0.65,MF,Inter Milan,"4,3,3,31,11,35,13,7,6,65,17,13,8,6,30,17",
0,Jorginho,it,player,0.91,MF,Arsenal,"0,2,2,13,2,2,2,2,3,91,14,4,4,3,33,12",
0,Lorenzo Pellegrini,it,player,0.64,MF,Roma,"6,64,6,5,2,2,2,2,3,45,8,4,3,5,27,8",
0,Bryan Cristante,it,player,0.29,MF,Roma,"0,1,1,3,1,1,1,1,1,16,2,2,2,1,29,5",
0,Nicolo Fagioli,it,player,0.11,MF,Juventus,"7,4,3,11,3,5,5,8,6,10,4,3,2,2,10,4",
0,Michael Folorunsho,it,player,1.7857142857142858,MF,Hellas Verona,"12,11,9,26,5,6,3,2,2,100,14,4,2,8,10,3",
0,Mateo Retegui,it,player,0.5,FW,Genoa,"4,2,9,10,3,5,4,4,4,23,6,3,3,3,50,11",
0,Giacomo Raspadori,it,player,0.16,FW,Napoli,"0,1,1,4,1,1,1,1,2,5,2,1,6,2,16,3",
0,Federico Chiesa,it,player,1.2658227848101267,FW,Juventus,"31,31,33,41,22,22,22,20,18,100,39,18,14,12,47,17",
0,Gianluca Scamacca,it,player,1.2048192771084338,FW,Atalanta,"4,3,3,27,5,4,4,8,10,100,20,11,7,8,88,25",
0,Mattia Zaccagni,it,player,0.42,FW,Lazio,"3,3,2,7,1,1,1,1,2,7,4,2,1,2,42,8",
0,Stephan El Shaarawy,it,player,0.18,FW,Roma,"6,4,3,3,2,2,2,3,4,13,7,4,3,2,18,5",
0,Luciano Spalletti /m/08s1ll,it,trainer,1.0,,,"11,5,5,12,5,4,3,3,8,48,20,8,5,9,36,59",
0,empty2it,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1it,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
